logctau,mgluino,width
2.51594,2114.76,5.9960e-16
2.56538,2150.55,5.3509e-16
2.60985,2194.28,4.8301e-16
2.65930,2218.15,4.3103e-16
2.70371,2321.49,3.8913e-16
2.80262,2363.26,3.0987e-16
2.99542,2500.45,1.9879e-16
3.47789,2474.80,6.5451e-17
3.69568,2409.32,3.9639e-17
3.86149,2373.62,2.7059e-17
3.98275,2347.83,2.0467e-17
4.04958,2318.05,1.7548e-17
4.08919,2302.17,1.6018e-17
4.28471,2242.64,1.0212e-17
4.32184,2224.77,9.3749e-18
4.36640,2202.93,8.4607e-18
4.46540,2171.17,6.7360e-18
4.52485,2113.57,5.8743e-18
4.70304,2061.98,3.8973e-18
4.81445,2002.41,3.0155e-18
4.85406,1976.59,2.7526e-18
4.98525,1926.97,2.0350e-18
